WORD,PREDICTION
guaranteed,1
tablets,1
west,0
footballs,1
kilometers,1
stay,0
unemployment,1
Teacher,1
sending,1
addition,0
haunt,0
limiting,1
showing,1
lawn,0
tracked,1
asteroids,1
persisting,1
pioneer,1
keep,0
catering,1
investigating,1
households,1
inclusive,1
luxurious,1
infection,1
gods,0
talk,0
capital,0
bopped,0
Hawk,0
sectarian,1
decolonized,1
add,0
vice,0
stigma,0
lobby,0
framed,0
greater,0
erode,0
Festival,1
drugs,0
disorder,1
uncommon,1
dams,0
rounds,0
inadequate,1
librarian,1
firing,0
rice,0
fingers,1
adorable,1
shopkeepers,1
singer,0
penetrate,1
architect,1
Mothers,1
protons,1
universally,1
layoffs,1
rat,0
Pioneer,1
label,0
spooked,1
struggled,1
asylum,0
learned,0
accomplishing,1
aerospace,1
rewrite,1
asphalt,1
ethanol,1
terrified,1
barricades,1
fun,0
vanished,1
bail,0
longest-tenured,1
casualty,1
recording,1
transition,1
tolerate,1
box,0
wage,0
aerial,0
passed,0
donated,1
readjustment,1
tables,0
reveals,1
word,0
foes,0
Band-Aid,1
payoffs,1
take,0
cache,0
generational,1
spills,0
written,0
illicit,1
sentence,1
often,0
dolls,0
constituents,1
reliance,1
perennial,1
ruler,0
unmistakable,1
tourists,1
imposed,1
hoots,0
Instead,1
fellow,0
meal,0
reminder,1
master,0
package,1
meters,0
dragging,1
ergonomic,1
terrain,1
province,1
fur,0
dominance,1
existed,1
tooth,0
icy,0
checked,1
asks,0
mind-blowing,1
list,0
talking,1
tackle,0
bracelet,1
secondhand,1
reel-to-reel,1
land,0
husband,0
crashed,1
weapon,0
artwork,1
hunter,0
peacefully,1
acceptance,1
everywhere,1
river,0
clutching,1
fell,0
juvenile,1
beseeched,1
join,0
mobile,0
outsized,1
overfishing,1
agents,0
agriculture,1
suggests,1
skulls,0
status,0
losing,0
flight,0
mellow,0
sickly,0
humble-looking,1
movie,0
whizzing,1
distracted,1
polish,0
EcoSolutions,1
exactly,0
predecessor,1
region,0
connect,1
yielding,1
frightening,1
futile,0
adults,0
affirmatively,1
waste,0
faults,0
blaze,0
pious,0
funnels,1
67P,0
disobedience,1
grades,0
sell,0
pan-seared,1
crammed,1
thousands,1
fats,0
debt,0
MAGADI,0
protections,1
immemorial,1
waging,0
bugs,0
outdoor,1
luck,0
genome,0
grass,0
earned,0
cheese,0
arm,0
Toy,0
salutes,1
headed,0
nuanced,1
entertainment,1
Insider,1
moves,0
possibility,1
migrant,1
Tennis,0
fights,0
power,0
campylobacter,1
Even,0
toughened,1
worldly,1
leaves,0
Dry,0
student-led,1
defense,1
period,0
Arena,0
growing,0
schoolchildren,1
overturn,1
finished,1
associated,1
Far,0
physical,0
after-school,1
sprinkle,1
kicking,1
incident,1
widespread,1
packs,0
ochre,0
whiteboard,1
filled,0
vent,0
justices,1
paper,0
spectacle,1
armed,0
basic,0
limb,0
expelling,1
reclined,1
bylaws,0
instruction,1
business,0
spinning,1
types,0
schools,0
sharply,1
scores,0
Surveys,1
kitchen,1
organizers,1
serving,1
emphasize,1
thought,0
motivate,1
spread,0
defiance,1
puts,0
modeled,1
Horizon,1
impact,0
displayed,1
Father-daughter,1
wolves,0
across,0
poaching,1
ground-penetrating,1
polling,1
ticking,1
toys,0
door,0
broke,0
infinite,1
imagining,1
approve,1
plows,0
also,0
empty,0
devote,0
lawmakers,1
dominated,1
intellectual,1
steam-powered,1
Officials,1
airlines,1
called,0
black-and-white,1
foundation,1
fat,0
kill,0
hell,0
require,0
gripes,0
ordered,1
limit,0
misreporting,1
hemispheres,1
declaring,1
interior,1
affects,1
landscaping,1
twice,0
nearby,0
statement,1
lately,0
broader,1
steeply,1
armor,0
board,0
shelter,1
wound,0
wearing,1
east,0
tax,0
mapped,0
codified,1
vast,0
prominently,1
Scientific,1
athletics,1
undone,0
fears,0
professional,1
provision,1
appeals,1
installment,1
stimulate,1
eSports,1
notion,0
elite,0
unanimously,1
associate,1
predominantly,1
emaciated,1
height,0
organizations,1
Deputy,0
bedeviled,1
maps,0
White,0
revolution,1
offbeat,1
appropriate,1
outlawing,1
places,0
relationship,1
relief,0
prosthetics,1
try,0
grade,0
largest,1
soccer,0
political,0
lice-infested,1
voting,0
commuter,1
defiant,1
alarming,1
invasive,1
defensive,1
trade-in,1
hulks,0
resolved,1
realize,1
charismatic,1
lute-like,1
electrical,1
notions,1
initiative,1
shocked,1
investment,1
attained,1
stocks,0
loves,0
write,0
cells,0
talent,0
occurrence,1
national,0
diabetes,1
clothes,1
Wars,0
traffic,1
offer,0
futility,1
takeout,1
terror,0
museum,0
rocks,0
cellphone,1
titans,0
louse,0
consequence,1
archaeological,1
antidote,1
automatically,1
bordering,1
party,0
infirmity,1
dumb,0
variety,0
likely,0
displacement,1
camper,0
votes,0
flinging,1
ball,0
excluded,1
diameter,1
enjoy,0
poses,0
compact,1
